timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-01,103.7750,104.0700,103.4500,103.6300,103.6300,2862410,0.0000,1.0000
2019-01-31,103.8000,105.2200,103.1800,104.4300,104.4300,55442184,0.0000,1.0000
2019-01-30,104.6200,106.3800,104.3300,106.3800,106.3800,49471866,0.0000,1.0000
2019-01-29,104.8800,104.9700,102.1700,102.9400,102.9400,31490547,0.0000,1.0000
2019-01-28,106.2600,106.4800,104.6600,105.0800,105.0800,29476719,0.0000,1.0000
2019-01-25,107.2400,107.8800,106.5900,107.1700,107.1700,31218193,0.0000,1.0000
2019-01-24,106.8600,107.0000,105.3400,106.2000,106.2000,23164838,0.0000,1.0000
2019-01-23,106.1200,107.0400,105.3400,106.7100,106.7100,25874294,0.0000,1.0000
2019-01-22,106.7500,107.1000,104.8600,105.6800,105.6800,32371253,0.0000,1.0000
2019-01-18,107.4600,107.9000,105.9100,107.7100,107.7100,37427587,0.0000,1.0000
2019-01-17,105.0000,106.6250,104.7600,106.1200,106.1200,28393015,0.0000,1.0000
2019-01-16,105.2600,106.2550,104.9600,105.3800,105.3800,29853865,0.0000,1.0000
2019-01-15,102.5100,105.0500,101.8800,105.0100,105.0100,31587616,0.0000,1.0000
2019-01-14,101.9000,102.8716,101.2600,102.0500,102.0500,28437079,0.0000,1.0000
2019-01-11,103.1900,103.4400,101.6400,102.8000,102.8000,28314202,0.0000,1.0000
2019-01-10,103.2200,103.7500,102.3800,103.6000,103.6000,30067556,0.0000,1.0000
2019-01-09,103.8600,104.8800,103.2445,104.2700,104.2700,32280840,0.0000,1.0000
2019-01-08,103.0400,103.9700,101.7134,102.8000,102.8000,31514415,0.0000,1.0000
2019-01-07,101.6400,103.2681,100.9800,102.0600,102.0600,35656136,0.0000,1.0000
2019-01-04,99.7200,102.5100,98.9300,101.9300,101.9300,44060620,0.0000,1.0000
2019-01-03,100.1000,100.1850,97.2000,97.4000,97.4000,42578410,0.0000,1.0000
2019-01-02,99.5500,101.7500,98.9400,101.1200,101.1200,35329345,0.0000,1.0000
2018-12-31,101.2900,102.4000,100.4400,101.5700,101.5700,33173765,0.0000,1.0000
2018-12-28,102.0900,102.4100,99.5200,100.3900,100.3900,38169312,0.0000,1.0000
2018-12-27,99.3000,101.1900,96.4000,101.1800,101.1800,49498509,0.0000,1.0000
2018-12-26,95.1400,100.6900,93.9600,100.5600,100.5600,51634793,0.0000,1.0000
2018-12-24,97.6800,97.9700,93.9800,94.1300,94.1300,43935192,0.0000,1.0000
2018-12-21,101.6300,103.0000,97.4600,98.2300,98.2300,111242070,0.0000,1.0000
2018-12-20,103.0500,104.3100,98.7800,101.5100,101.5100,70334184,0.0000,1.0000
2018-12-19,103.6500,106.8800,101.3500,103.6900,103.6900,68198186,0.0000,1.0000
2018-12-18,103.7500,104.5100,102.5200,103.9700,103.9700,49319196,0.0000,1.0000
2018-12-17,105.4100,105.8000,101.7100,102.8900,102.8900,56957314,0.0000,1.0000
2018-12-14,108.2500,109.2600,105.5000,106.0300,106.0300,47043136,0.0000,1.0000
2018-12-13,109.5800,110.8700,108.6300,109.4500,109.4500,31333362,0.0000,1.0000
2018-12-12,110.8900,111.2700,109.0400,109.0800,109.0800,36183020,0.0000,1.0000
2018-12-11,109.8000,110.9500,107.4400,108.5900,108.5900,42381947,0.0000,1.0000
2018-12-10,104.8000,107.9800,103.8900,107.5900,107.5900,40801525,0.0000,1.0000
2018-12-07,108.3800,109.4500,104.3000,104.8200,104.8200,45044937,0.0000,1.0000
2018-12-06,105.8200,109.2400,105.0000,109.1900,109.1900,49107431,0.0000,1.0000
2018-12-04,111.9400,112.6373,108.2115,108.5200,108.5200,45196984,0.0000,1.0000
2018-12-03,113.0000,113.4200,110.7300,112.0900,112.0900,34732772,0.0000,1.0000
2018-11-30,110.7000,110.9700,109.3600,110.8900,110.8900,33665624,0.0000,1.0000
2018-11-29,110.3300,111.1150,109.0300,110.1900,110.1900,28123195,0.0000,1.0000
2018-11-28,107.8900,111.3300,107.8600,111.1200,111.1200,46788461,0.0000,1.0000
2018-11-27,106.2700,107.3300,105.3600,107.1400,107.1400,29124486,0.0000,1.0000
2018-11-26,104.7900,106.6300,104.5800,106.4700,106.4700,32336165,0.0000,1.0000
2018-11-23,102.1700,103.8099,102.0000,103.0700,103.0700,13823099,0.0000,1.0000
2018-11-21,103.6000,104.4300,102.2400,103.1100,103.1100,28130621,0.0000,1.0000
2018-11-20,101.8000,102.9700,99.3528,101.7100,101.7100,64052457,0.0000,1.0000
2018-11-19,108.2700,108.5600,103.5500,104.6200,104.6200,44773899,0.0000,1.0000
2018-11-16,107.0800,108.8800,106.8000,108.2900,108.2900,33502121,0.0000,1.0000
2018-11-15,104.9900,107.8000,103.9100,107.2800,107.2800,38505165,0.0000,1.0000
2018-11-14,108.1000,108.2600,104.4700,104.9700,104.9700,39495141,0.4600,1.0000
2018-11-13,107.5500,108.7400,106.6400,106.9400,106.4734,35374583,0.0000,1.0000
2018-11-12,109.4200,109.9600,106.1000,106.8700,106.4037,33621807,0.0000,1.0000
2018-11-09,110.8500,111.4500,108.7600,109.5700,109.0919,32039223,0.0000,1.0000
2018-11-08,111.8000,112.2100,110.9100,111.7500,111.2624,25644105,0.0000,1.0000
2018-11-07,109.4400,112.2400,109.4000,111.9600,111.4715,37901704,0.0000,1.0000
2018-11-06,107.3800,108.8400,106.2800,107.7200,107.2500,24340248,0.0000,1.0000
2018-11-05,106.3700,107.7400,105.9000,107.5100,107.0409,27922144,0.0000,1.0000
2018-11-02,106.4800,107.3200,104.9750,106.1600,105.6968,37680194,0.0000,1.0000
2018-11-01,107.0500,107.3200,105.5300,105.9200,105.4579,33384201,0.0000,1.0000
2018-10-31,105.4350,108.1400,105.3900,106.8100,106.3440,51062383,0.0000,1.0000
2018-10-30,103.6600,104.3800,100.1100,103.7300,103.2774,65350878,0.0000,1.0000
2018-10-29,108.1050,108.7000,101.6300,103.8500,103.3969,55162001,0.0000,1.0000
2018-10-26,105.6900,108.7500,104.7600,106.9600,106.4933,55523104,0.0000,1.0000
2018-10-25,106.5500,109.2700,106.1500,108.3000,107.8275,61646819,0.0000,1.0000
2018-10-24,108.4100,108.4900,101.5901,102.3200,101.8736,63897759,0.0000,1.0000
2018-10-23,107.7700,108.9700,105.1100,108.1000,107.6284,43770429,0.0000,1.0000
2018-10-22,109.3200,110.5400,108.2400,109.6300,109.1517,26545607,0.0000,1.0000
2018-10-19,108.9300,110.8600,108.2100,108.6600,108.1859,32785475,0.0000,1.0000
2018-10-18,110.1000,110.5300,107.8300,108.5000,108.0266,32506192,0.0000,1.0000
2018-10-17,111.6800,111.8100,109.5482,110.7100,110.2270,26548243,0.0000,1.0000
2018-10-16,109.5400,111.4100,108.9500,111.0000,110.5157,31610164,0.0000,1.0000
2018-10-15,108.9100,109.4800,106.9468,107.6000,107.1305,32068103,0.0000,1.0000
2018-10-12,109.0100,111.2400,107.1200,109.5700,109.0919,47742109,0.0000,1.0000
2018-10-11,105.3500,108.9300,104.2000,105.9100,105.4479,63904282,0.0000,1.0000
2018-10-10,111.2400,111.5000,105.7900,106.1600,105.6968,61376300,0.0000,1.0000
2018-10-09,111.1400,113.0800,110.8000,112.2600,111.7702,26198594,0.0000,1.0000
2018-10-08,111.6600,112.0300,109.3400,110.8500,110.3664,29640588,0.0000,1.0000
2018-10-05,112.6300,113.1700,110.6400,112.1300,111.6408,29068859,0.0000,1.0000
2018-10-04,114.6100,114.7588,111.6300,112.7900,112.2979,34821717,0.0000,1.0000
2018-10-03,115.4200,116.1800,114.9300,115.1700,114.6675,16648018,0.0000,1.0000
2018-10-02,115.3000,115.8400,114.4400,115.1500,114.6476,20787239,0.0000,1.0000
2018-10-01,114.7500,115.6800,114.7300,115.6100,115.1056,18883079,0.0000,1.0000
2018-09-28,114.1900,114.5700,113.6800,114.3700,113.8710,21647811,0.0000,1.0000
2018-09-27,114.7800,114.9100,114.2000,114.4100,113.9108,19091299,0.0000,1.0000
2018-09-26,114.4700,115.0550,113.7400,113.9800,113.4827,19352025,0.0000,1.0000
2018-09-25,114.8000,115.1000,113.7500,114.4500,113.9506,22668014,0.0000,1.0000
2018-09-24,113.0300,114.9000,112.2175,114.6700,114.1697,27334460,0.0000,1.0000
2018-09-21,114.0000,115.2900,113.5100,114.2600,113.7615,71229698,0.0000,1.0000
2018-09-20,112.2800,113.8000,111.9300,113.5700,113.0745,23714512,0.0000,1.0000
2018-09-19,113.0500,113.3200,111.0350,111.7000,111.2126,21728429,0.0000,1.0000
2018-09-18,112.1900,113.6950,111.7200,113.2100,112.7161,22170934,0.0000,1.0000
2018-09-17,113.6900,113.7000,111.8600,112.1400,111.6507,20736516,0.0000,1.0000
2018-09-14,113.3600,113.7300,112.4400,113.3700,112.8754,19122349,0.0000,1.0000
2018-09-13,112.1200,113.7250,112.1200,112.9100,112.4174,26055620,0.0000,1.0000
2018-09-12,111.4300,111.8500,110.5100,111.7100,111.2226,18891064,0.0000,1.0000
2018-09-11,108.9000,111.5900,108.8900,111.2400,110.7547,24301774,0.0000,1.0000
2018-09-10,108.8400,109.6400,108.3600,109.3800,108.9028,20727906,0.0000,1.0000
